place_id,name,permanently_closed,business_status,reference,found_types,formatted_address,rating,user_ratings_total,google_url
ChIJ80hA0Q4uWpMRGdM-sY5xqrg,Escola Carinha de Anjo - Há 17 anos formando excelentes alunos,False,OPERATIONAL,ChIJ80hA0Q4uWpMRGdM-sY5xqrg,"school,primary_school,point_of_interest,establishment","SH Arniqueiras Col. Agrícola Arniqueira - Taguatinga, Brasília - DF, 70297-400",4.7,32,https://www.google.com/maps/place/?q=place_id:ChIJ80hA0Q4uWpMRGdM-sY5xqrg
ChIJ87_0zugyWpMR-NqUWKDw-xo,Escola Saga - Brasília,False,OPERATIONAL,ChIJ87_0zugyWpMR-NqUWKDw-xo,"school,point_of_interest,establishment","10 St. Central C 7 Lote 02, Sala 101/201 Centro - Taguatinga, Brasília - DF, 72010-070",4,87,https://www.google.com/maps/place/?q=place_id:ChIJ87_0zugyWpMR-NqUWKDw-xo
ChIJ8eGukH8tWpMRanYNhBGmrBo,Centro De Educação Infantil 01 De Taguatinga,False,OPERATIONAL,ChIJ8eGukH8tWpMRanYNhBGmrBo,"school,secondary_school,point_of_interest,establishment","St. D Sul - Taguatinga, Brasília - DF, 72025-140",4.2,17,https://www.google.com/maps/place/?q=place_id:ChIJ8eGukH8tWpMRanYNhBGmrBo
ChIJ98PVoBoyWpMRRPAIceNphcE,Mais Estudos acompanhamento e reforço escolar,True,CLOSED_TEMPORARILY,ChIJ98PVoBoyWpMRRPAIceNphcE,"school,point_of_interest,establishment",Shopping Maggiore sala 213 2° andar,0,0,https://www.google.com/maps/place/?q=place_id:ChIJ98PVoBoyWpMRRPAIceNphcE
ChIJ9Tm7FokyWpMR7Y_gnLDDdAM,Creche Escola Vila do Sol,True,CLOSED_TEMPORARILY,ChIJ9Tm7FokyWpMR7Y_gnLDDdAM,"school,point_of_interest,establishment","QS 3 81 3 - Vicente Pires, Brasília - DF, 72005-750",0,0,https://www.google.com/maps/place/?q=place_id:ChIJ9Tm7FokyWpMR7Y_gnLDDdAM
ChIJa0Gl22MyWpMRwdEYUZ763bQ,Colégio Ideal - Ensino Fundamental 1 e 2 - Águas Claras,False,OPERATIONAL,ChIJa0Gl22MyWpMRwdEYUZ763bQ,"school,point_of_interest,establishment","Av. Jequitibá, 325 - Águas Claras, Brasília - DF, 71929-540",4.3,60,https://www.google.com/maps/place/?q=place_id:ChIJa0Gl22MyWpMRwdEYUZ763bQ
ChIJA7op1BMyWpMRUTMw86cnhEo,Auto Escola Líder Aguas Claras,False,OPERATIONAL,ChIJA7op1BMyWpMRUTMw86cnhEo,"school,point_of_interest,establishment","Edifício Metropólitan, R. das Pitangueiras, LOTE 10 - Lojas 04/05 - Águas Claras, Brasília - DF, 71938-540",3.5,24,https://www.google.com/maps/place/?q=place_id:ChIJA7op1BMyWpMRUTMw86cnhEo
ChIJAaCKPggyWpMRXbbvEjDdLvs,escolar Educacional,True,CLOSED_TEMPORARILY,ChIJAaCKPggyWpMRXbbvEjDdLvs,"school,point_of_interest,establishment","CASA 01 - SHA, conjunto 4, chácaras 70/1 - Arniqueiras, Brasília - DF, 71994-400",1,1,https://www.google.com/maps/place/?q=place_id:ChIJAaCKPggyWpMRXbbvEjDdLvs
ChIJAbgfjJQyWpMRjxysOcZsZ-Y,Cresce Educação Infantil,False,OPERATIONAL,ChIJAbgfjJQyWpMRjxysOcZsZ-Y,"secondary_school,school,point_of_interest,establishment","St. C Sul QSC 20 Lote 20/22/24 - Taguatinga, Brasília - DF, 72016-040",3.8,5,https://www.google.com/maps/place/?q=place_id:ChIJAbgfjJQyWpMRjxysOcZsZ-Y
ChIJAQAAEEIzWpMROKmTrs64h1Y,Colégio Objetivo DF - Águas Claras II,False,OPERATIONAL,ChIJAQAAEEIzWpMROKmTrs64h1Y,"school,point_of_interest,establishment","Quadra 106 Lote 05, Praça Canários - Águas Claras, Brasília - DF, 72130-050",3.9,22,https://www.google.com/maps/place/?q=place_id:ChIJAQAAEEIzWpMROKmTrs64h1Y
ChIJBUW7mucyWpMRCMopWttaT7g,Escola de Educação Caculinha,True,CLOSED_TEMPORARILY,ChIJBUW7mucyWpMRCMopWttaT7g,"school,point_of_interest,establishment","St. B Norte QNB 4 - Taguatinga, Brasília - DF, 70297-400",5,1,https://www.google.com/maps/place/?q=place_id:ChIJBUW7mucyWpMRCMopWttaT7g
